experiment,condition,seed,winner,turns,commandCount,adCount,A,D,fires,towardMoves,awayMoves,aMove,aAll,c,switchRate,pA,maxRun,fractionInRunsGTE3
E1,aggressive,s1,player1,16,36,21,21,0,6,15,0,1,1,1,0,1,21,1
E1,aggressive,s2,player2,17,26,18,18,0,4,14,0,1,1,1,0,1,18,1
E1,aggressive,s3,player1,20,39,19,19,0,9,10,0,1,1,1,0,1,19,1
E1,aggressive,s4,player1,40,45,23,23,0,10,13,0,1,1,1,0,1,23,1
E1,aggressive,s5,player2,21,25,14,14,0,4,10,0,1,1,1,0,1,14,1
E1,aggressive,s6,player1,36,33,18,18,0,6,12,0,1,1,1,0,1,18,1
E1,aggressive,s7,player2,23,20,14,14,0,3,11,0,1,1,1,0,1,14,1
E1,aggressive,s8,player1,20,41,20,20,0,7,13,0,1,1,1,0,1,20,1
E1,aggressive,s9,player1,50,34,20,20,0,8,12,0,1,1,1,0,1,20,1
E1,aggressive,s10,player1,24,37,20,20,0,8,12,0,1,1,1,0,1,20,1
E1,aggressive,s11,player2,33,27,17,17,0,6,11,0,1,1,1,0,1,17,1
E1,aggressive,s12,player1,22,37,23,23,0,8,15,0,1,1,1,0,1,23,1
E1,aggressive,s13,player1,44,45,22,22,0,11,11,0,1,1,1,0,1,22,1
E1,aggressive,s14,player2,80,40,24,24,0,9,15,0,1,1,1,0,1,24,1
E1,aggressive,s15,player2,35,33,20,20,0,7,13,0,1,1,1,0,1,20,1
E1,aggressive,s16,player1,38,42,24,24,0,8,16,0,1,1,1,0,1,24,1
E1,aggressive,s17,player2,31,34,18,18,0,8,10,0,1,1,1,0,1,18,1
E1,aggressive,s18,player1,40,48,24,24,0,11,13,0,1,1,1,0,1,24,1
E1,aggressive,s19,player2,13,17,12,12,0,1,11,0,1,1,1,0,1,12,1
E1,aggressive,s20,player1,22,46,26,26,0,7,19,0,1,1,1,0,1,26,1
E1,aggressive,s21,player2,27,36,22,22,0,8,14,0,1,1,1,0,1,22,1
E1,aggressive,s22,player1,36,36,21,21,0,7,14,0,1,1,1,0,1,21,1
E1,aggressive,s23,player2,39,28,15,15,0,7,8,0,1,1,1,0,1,15,1
E1,aggressive,s24,player2,25,12,10,10,0,1,9,0,1,1,1,0,1,10,1
E1,aggressive,s25,player1,22,34,20,20,0,6,14,0,1,1,1,0,1,20,1
E1,aggressive,s26,player2,25,33,19,19,0,7,12,0,1,1,1,0,1,19,1
E1,aggressive,s27,player2,80,27,13,13,0,5,8,0,1,1,1,0,1,13,1
E1,aggressive,s28,player1,24,33,16,16,0,7,9,0,1,1,1,0,1,16,1
E1,aggressive,s29,player2,27,26,16,16,0,6,10,0,1,1,1,0,1,16,1
E1,aggressive,s30,player2,21,21,13,13,0,3,10,0,1,1,1,0,1,13,1
E1,aggressive,s31,player2,37,41,23,23,0,9,14,0,1,1,1,0,1,23,1
E1,aggressive,s32,player1,38,39,21,21,0,10,11,0,1,1,1,0,1,21,1
E1,aggressive,s33,player2,35,39,23,23,0,6,17,0,1,1,1,0,1,23,1
E1,aggressive,s34,player1,32,37,21,21,0,7,14,0,1,1,1,0,1,21,1
E1,aggressive,s35,player1,38,27,19,19,0,5,14,0,1,1,1,0,1,19,1
E1,aggressive,s36,player2,37,19,12,12,0,4,8,0,1,1,1,0,1,12,1
E1,aggressive,s37,player2,23,28,16,16,0,3,13,0,1,1,1,0,1,16,1
E1,aggressive,s38,player2,15,20,13,13,0,2,11,0,1,1,1,0,1,13,1
E1,aggressive,s39,player1,26,38,18,18,0,9,9,0,1,1,1,0,1,18,1
E1,aggressive,s40,player2,80,35,19,19,0,9,10,0,1,1,1,0,1,19,1
E1,aggressive,s41,player1,36,31,18,18,0,9,9,0,1,1,1,0,1,18,1
E1,aggressive,s42,player1,26,32,18,18,0,8,10,0,1,1,1,0,1,18,1
E1,aggressive,s43,player1,14,39,23,23,0,9,14,0,1,1,1,0,1,23,1
E1,aggressive,s44,player2,31,33,17,17,0,4,13,0,1,1,1,0,1,17,1
E1,aggressive,s45,player1,26,42,21,21,0,8,13,0,1,1,1,0,1,21,1
E1,aggressive,s46,player1,26,44,25,25,0,8,17,0,1,1,1,0,1,25,1
E1,aggressive,s47,player1,80,29,18,18,0,6,12,0,1,1,1,0,1,18,1
E1,aggressive,s48,player1,20,32,18,18,0,7,11,0,1,1,1,0,1,18,1
E1,aggressive,s49,player2,25,19,10,10,0,3,7,0,1,1,1,0,1,10,1
E1,aggressive,s50,player2,33,20,12,12,0,2,10,0,1,1,1,0,1,12,1
E1,aggressive,s51,player2,37,30,21,21,0,6,15,0,1,1,1,0,1,21,1
E1,aggressive,s52,player2,37,32,16,16,0,5,11,0,1,1,1,0,1,16,1
E1,aggressive,s53,player1,24,42,24,24,0,11,13,0,1,1,1,0,1,24,1
E1,aggressive,s54,player1,22,45,25,25,0,9,16,0,1,1,1,0,1,25,1
E1,aggressive,s55,player1,14,38,23,23,0,8,15,0,1,1,1,0,1,23,1
E1,aggressive,s56,player2,23,33,18,18,0,5,13,0,1,1,1,0,1,18,1
E1,aggressive,s57,player1,38,38,20,20,0,8,12,0,1,1,1,0,1,20,1
E1,aggressive,s58,player2,33,35,20,20,0,5,15,0,1,1,1,0,1,20,1
E1,aggressive,s59,player2,23,35,17,17,0,6,11,0,1,1,1,0,1,17,1
E1,aggressive,s60,player2,43,41,24,24,0,8,16,0,1,1,1,0,1,24,1
E1,aggressive,s61,player2,29,33,19,19,0,8,11,0,1,1,1,0,1,19,1
E1,aggressive,s62,player2,23,30,18,18,0,7,11,0,1,1,1,0,1,18,1
E1,aggressive,s63,player1,16,36,19,19,0,7,12,0,1,1,1,0,1,19,1
E1,aggressive,s64,player1,36,39,21,21,0,8,13,0,1,1,1,0,1,21,1
E1,aggressive,s65,player1,22,25,16,16,0,5,11,0,1,1,1,0,1,16,1
E1,aggressive,s66,player1,16,34,21,21,0,6,15,0,1,1,1,0,1,21,1
E1,aggressive,s67,player1,22,38,20,20,0,6,14,0,1,1,1,0,1,20,1
E1,aggressive,s68,player2,17,27,21,21,0,2,19,0,1,1,1,0,1,21,1
E1,aggressive,s69,player1,22,39,21,21,0,10,11,0,1,1,1,0,1,21,1
E1,aggressive,s70,player1,32,35,17,17,0,8,9,0,1,1,1,0,1,17,1
E1,aggressive,s71,player1,24,37,21,21,0,10,11,0,1,1,1,0,1,21,1
E1,aggressive,s72,player2,27,30,17,17,0,5,12,0,1,1,1,0,1,17,1
E1,aggressive,s73,player2,27,31,19,19,0,5,14,0,1,1,1,0,1,19,1
E1,aggressive,s74,player1,30,48,25,25,0,11,14,0,1,1,1,0,1,25,1
E1,aggressive,s75,player1,30,42,24,24,0,11,13,0,1,1,1,0,1,24,1
E1,aggressive,s76,player2,21,25,17,17,0,6,11,0,1,1,1,0,1,17,1
E1,aggressive,s77,player2,33,28,17,17,0,6,11,0,1,1,1,0,1,17,1
E1,aggressive,s78,player1,36,40,24,24,0,9,15,0,1,1,1,0,1,24,1
E1,aggressive,s79,player1,18,33,19,19,0,7,12,0,1,1,1,0,1,19,1
E1,aggressive,s80,player2,51,35,18,18,0,7,11,0,1,1,1,0,1,18,1
E1,aggressive,s81,player1,32,49,26,26,0,10,16,0,1,1,1,0,1,26,1
E1,aggressive,s82,player1,20,43,23,23,0,11,12,0,1,1,1,0,1,23,1
E1,aggressive,s83,player1,32,38,24,24,0,9,15,0,1,1,1,0,1,24,1
E1,aggressive,s84,player1,22,44,26,26,0,10,16,0,1,1,1,0,1,26,1
E1,aggressive,s85,player2,23,17,11,11,0,4,7,0,1,1,1,0,1,11,1
E1,aggressive,s86,player2,27,31,22,22,0,5,17,0,1,1,1,0,1,22,1
E1,aggressive,s87,player1,44,31,21,21,0,7,14,0,1,1,1,0,1,21,1
E1,aggressive,s88,player1,28,40,19,19,0,6,13,0,1,1,1,0,1,19,1
E1,aggressive,s89,player2,31,34,20,20,0,7,13,0,1,1,1,0,1,20,1
E1,aggressive,s90,player2,15,23,15,15,0,1,14,0,1,1,1,0,1,15,1
E1,aggressive,s91,player2,27,14,9,9,0,1,8,0,1,1,1,0,1,9,1
E1,aggressive,s92,player1,18,40,22,22,0,9,13,0,1,1,1,0,1,22,1
E1,aggressive,s93,player1,22,48,27,27,0,10,17,0,1,1,1,0,1,27,1
E1,aggressive,s94,player2,49,37,20,20,0,6,14,0,1,1,1,0,1,20,1
E1,aggressive,s95,player2,33,35,26,26,0,7,19,0,1,1,1,0,1,26,1
E1,aggressive,s96,player1,18,36,20,20,0,7,13,0,1,1,1,0,1,20,1
E1,aggressive,s97,player2,29,30,19,19,0,8,11,0,1,1,1,0,1,19,1
E1,aggressive,s98,player2,25,15,11,11,0,0,11,0,1,1,1,0,1,11,1
E1,aggressive,s99,player2,31,44,25,25,0,8,17,0,1,1,1,0,1,25,1
E1,aggressive,s100,player2,13,21,15,15,0,4,11,0,1,1,1,0,1,15,1
E1,aggressive,s101,player2,23,25,21,21,0,2,19,0,1,1,1,0,1,21,1
E1,aggressive,s102,player2,15,25,20,20,0,2,18,0,1,1,1,0,1,20,1
E1,aggressive,s103,player1,26,41,22,22,0,8,14,0,1,1,1,0,1,22,1
E1,aggressive,s104,player2,31,31,19,19,0,6,13,0,1,1,1,0,1,19,1
E1,aggressive,s105,player2,23,31,17,17,0,6,11,0,1,1,1,0,1,17,1
E1,aggressive,s106,player1,24,45,22,22,0,9,13,0,1,1,1,0,1,22,1
E1,aggressive,s107,player1,18,45,24,24,0,7,17,0,1,1,1,0,1,24,1
E1,aggressive,s108,player1,14,30,19,19,0,6,13,0,1,1,1,0,1,19,1
E1,aggressive,s109,player2,33,20,14,14,0,3,11,0,1,1,1,0,1,14,1
E1,aggressive,s110,player1,22,31,18,18,0,6,12,0,1,1,1,0,1,18,1
E1,aggressive,s111,player2,17,19,12,12,0,2,10,0,1,1,1,0,1,12,1
E1,aggressive,s112,player1,28,46,26,26,0,11,15,0,1,1,1,0,1,26,1
E1,aggressive,s113,player1,28,32,18,18,0,7,11,0,1,1,1,0,1,18,1
E1,aggressive,s114,player2,19,31,18,18,0,6,12,0,1,1,1,0,1,18,1
E1,aggressive,s115,player2,35,33,18,18,0,7,11,0,1,1,1,0,1,18,1
E1,aggressive,s116,player1,18,29,19,19,0,6,13,0,1,1,1,0,1,19,1
E1,aggressive,s117,player1,20,30,15,15,0,7,8,0,1,1,1,0,1,15,1
E1,aggressive,s118,player1,26,41,22,22,0,7,15,0,1,1,1,0,1,22,1
E1,aggressive,s119,player1,20,29,17,17,0,6,11,0,1,1,1,0,1,17,1
E1,aggressive,s120,player1,18,36,22,22,0,6,16,0,1,1,1,0,1,22,1
E1,aggressive,s121,player2,25,29,21,21,0,6,15,0,1,1,1,0,1,21,1
E1,aggressive,s122,player1,26,37,21,21,0,6,15,0,1,1,1,0,1,21,1
E1,aggressive,s123,player2,17,31,19,19,0,5,14,0,1,1,1,0,1,19,1
E1,aggressive,s124,player2,17,30,20,20,0,4,16,0,1,1,1,0,1,20,1
E1,aggressive,s125,player1,16,32,21,21,0,8,13,0,1,1,1,0,1,21,1
E1,aggressive,s126,player2,33,28,17,17,0,5,12,0,1,1,1,0,1,17,1
E1,aggressive,s127,player1,14,35,15,15,0,9,6,0,1,1,1,0,1,15,1
E1,aggressive,s128,player2,23,34,22,22,0,8,14,0,1,1,1,0,1,22,1
E1,aggressive,s129,player2,21,25,16,16,0,6,10,0,1,1,1,0,1,16,1
E1,aggressive,s130,player1,26,40,25,25,0,10,15,0,1,1,1,0,1,25,1
E1,aggressive,s131,player1,36,37,22,22,0,8,14,0,1,1,1,0,1,22,1
E1,aggressive,s132,player2,25,26,15,15,0,3,12,0,1,1,1,0,1,15,1
E1,aggressive,s133,player2,19,22,16,16,0,2,14,0,1,1,1,0,1,16,1
E1,aggressive,s134,player1,38,48,28,28,0,10,18,0,1,1,1,0,1,28,1
E1,aggressive,s135,player1,22,36,19,19,0,7,12,0,1,1,1,0,1,19,1
E1,aggressive,s136,player2,35,35,19,19,0,7,12,0,1,1,1,0,1,19,1
E1,aggressive,s137,player1,36,31,18,18,0,5,13,0,1,1,1,0,1,18,1
E1,aggressive,s138,player1,28,36,19,19,0,7,12,0,1,1,1,0,1,19,1
